dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,125,0,2025,Actual,YTD,2024-12-31,125,City Controller's Office,61,
Aviation,General,0,0,2025,Actual,YTD,2024-12-31,0,Division of Aviation,43,Aviation
Board of Ethics,General,11,0,2025,Actual,YTD,2024-12-31,11,Board of Ethics,45,
Board of Pensions,General,0,0,2025,Actual,YTD,2024-12-31,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,17,0,2025,Actual,YTD,2024-12-31,17,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,176,0,2025,Actual,YTD,2024-12-31,176,City Commissioner's Office,73,City Commissioners
City Council,General,208,0,2025,Actual,YTD,2024-12-31,208,City Council,01,
City Treasurer,General,22,0,2025,Actual,YTD,2024-12-31,22,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2025,Actual,YTD,2024-12-31,2,Civil Service Commission,55,
Commerce,General,61,0,2025,Actual,YTD,2024-12-31,61,Office of the Director of Commerce,42,Commerce
Finance,General,129,0,2025,Actual,YTD,2024-12-31,129,Office of the Director of Finance,35,Finance
First Judicial District,General,1747,0,2025,Actual,YTD,2024-12-31,1747,First Judicial District,84,FJD
Fleet Services,General,275,0,2025,Actual,YTD,2024-12-31,275,Office of Fleet Management,25,Fleet
Free Library,General,853,0,2025,Actual,YTD,2024-12-31,853,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,34,0,2025,Actual,YTD,2024-12-31,34,Commission on Human Relations,54,Human Relations
Human Services (1),General,433,0,2025,Actual,YTD,2024-12-31,433,Department of Human Services,22,DHS
Labor,General,39,0,2025,Actual,YTD,2024-12-31,39,Labor,03,
Law,General,234,0,2025,Actual,YTD,2024-12-31,234,Law Department,44,Law
Licenses & Inspections,General,378,0,2025,Actual,YTD,2024-12-31,378,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2025,Actual,YTD,2024-12-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2025,Actual,YTD,2024-12-31,2,L&I: Board of Review,27,
Managing Director's Office,General,556,0,2025,Actual,YTD,2024-12-31,556,Managing Director's Office,10,MDO
Mayor's Office,General,76,0,2025,Actual,YTD,2024-12-31,76,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,41,0,2025,Actual,YTD,2024-12-31,41,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2025,Actual,YTD,2024-12-31,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,6,0,2025,Actual,YTD,2024-12-31,6,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,48,0,2025,Actual,YTD,2024-12-31,48,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,77,0,2025,Actual,YTD,2024-12-31,77,Office of the Chief Administrative Officer,65,CAO
Office of Education,General,4,0,2025,Actual,YTD,2024-12-31,4,Office of Children and Families,66,OCF
Office of Homeless Services,General,149,0,2025,Actual,YTD,2024-12-31,149,Office of Homeless Services,24,OHS
Office of Human Resources,General,91,0,2025,Actual,YTD,2024-12-31,91,Office of Human Resources,56,OHR
