category,fiscal_month,amount
general,1,1809.6
grants_revenue,1,905.4
community_development,1,-29.5
vehicle_rental_tax,1,8.5
hospital_assessment_fund,1,21.3
housing_trust_fund,1,86.8
transportation_fund,1,6.6
budget_stabilization_fund,1,65.1
other_funds,1,14.7
total_operating_funds,1,2888.5
capital_improvement,1,423.9
industrial_and_commercial_dev,1,10.6
total_capital_funds,1,434.5
total_fund_equity,1,3323.0
general,2,1777.9
grants_revenue,2,898.9
community_development,2,-26.1
vehicle_rental_tax,2,9.3
hospital_assessment_fund,2,20.3
housing_trust_fund,2,113.9
transportation_fund,2,12.1
budget_stabilization_fund,2,65.1
other_funds,2,14.5
total_operating_funds,2,2886.1
capital_improvement,2,353.1
industrial_and_commercial_dev,2,10.6
total_capital_funds,2,363.7
total_fund_equity,2,3249.8
general,3,1777.4
grants_revenue,3,1015.9
community_development,3,-11.0
vehicle_rental_tax,3,3.1
hospital_assessment_fund,3,45.2
housing_trust_fund,3,114.5
transportation_fund,3,16.5
budget_stabilization_fund,3,107.4
other_funds,3,15.3
total_operating_funds,3,3084.4
capital_improvement,3,342.4
industrial_and_commercial_dev,3,10.7
total_capital_funds,3,353.0
total_fund_equity,3,3437.4
general,4,1640.0
grants_revenue,4,1054.9
community_development,4,-12.1
vehicle_rental_tax,4,3.7
hospital_assessment_fund,4,22.0
housing_trust_fund,4,114.6
transportation_fund,4,20.8
budget_stabilization_fund,4,107.4
other_funds,4,14.8
total_operating_funds,4,2966.1
capital_improvement,4,331.3
industrial_and_commercial_dev,4,10.7
total_capital_funds,4,342.0
total_fund_equity,4,3308.0
general,5,1546.0
grants_revenue,5,780.1
community_development,5,-4.4
vehicle_rental_tax,5,2.9
hospital_assessment_fund,5,20.3
housing_trust_fund,5,99.0
transportation_fund,5,4.8
budget_stabilization_fund,5,107.4
other_funds,5,14.6
total_operating_funds,5,2570.7
capital_improvement,5,316.3
industrial_and_commercial_dev,5,10.7
total_capital_funds,5,327.0
total_fund_equity,5,2897.7
general,6,1259.2
grants_revenue,6,727.7
community_development,6,-5.3
vehicle_rental_tax,6,3.5
hospital_assessment_fund,6,53.0
housing_trust_fund,6,96.9
transportation_fund,6,1.0
budget_stabilization_fund,6,107.4
other_funds,6,14.4
total_operating_funds,6,2257.9
capital_improvement,6,301.3
industrial_and_commercial_dev,6,10.7
total_capital_funds,6,312.0
total_fund_equity,6,2569.9
general,7,1316.1
grants_revenue,7,792.3
community_development,7,-2.5
vehicle_rental_tax,7,4.1
hospital_assessment_fund,7,20.2
housing_trust_fund,7,94.8
transportation_fund,7,0.4
budget_stabilization_fund,7,107.4
other_funds,7,14.2
total_operating_funds,7,2346.9
capital_improvement,7,286.3
industrial_and_commercial_dev,7,10.8
total_capital_funds,7,297.1
total_fund_equity,7,2644.0
general,8,1315.4
grants_revenue,8,899.7
community_development,8,-0.3
vehicle_rental_tax,8,4.7
hospital_assessment_fund,8,19.9
housing_trust_fund,8,92.7
transportation_fund,8,-1.1
budget_stabilization_fund,8,107.4
other_funds,8,14.0
total_operating_funds,8,2452.3
capital_improvement,8,271.3
industrial_and_commercial_dev,8,10.8
total_capital_funds,8,282.1
total_fund_equity,8,2734.4
general,9,1430.0
grants_revenue,9,468.8
community_development,9,-0.8
vehicle_rental_tax,9,5.3
hospital_assessment_fund,9,25.8
housing_trust_fund,9,90.6
transportation_fund,9,-3.1
budget_stabilization_fund,9,107.4
other_funds,9,13.8
total_operating_funds,9,2137.8
capital_improvement,9,256.3
industrial_and_commercial_dev,9,10.8
total_capital_funds,9,267.1
total_fund_equity,9,2404.9
general,10,1860.8
grants_revenue,10,593.9
community_development,10,3.3
vehicle_rental_tax,10,5.9
hospital_assessment_fund,10,21.7
housing_trust_fund,10,88.5
transportation_fund,10,-1.6
budget_stabilization_fund,10,107.4
other_funds,10,13.6
total_operating_funds,10,2693.4
capital_improvement,10,241.3
industrial_and_commercial_dev,10,10.9
total_capital_funds,10,252.1
total_fund_equity,10,2945.5
general,11,1805.9
grants_revenue,11,540.5
community_development,11,1.4
vehicle_rental_tax,11,6.5
hospital_assessment_fund,11,50.6
housing_trust_fund,11,86.4
transportation_fund,11,2.6
budget_stabilization_fund,11,107.4
other_funds,11,13.4
total_operating_funds,11,2614.5
capital_improvement,11,226.3
industrial_and_commercial_dev,11,10.9
total_capital_funds,11,237.2
total_fund_equity,11,2851.7
general,12,1679.5
grants_revenue,12,473.4
community_development,12,0.0
vehicle_rental_tax,12,7.1
hospital_assessment_fund,12,24.7
housing_trust_fund,12,84.3
transportation_fund,12,3.0
budget_stabilization_fund,12,107.4
other_funds,12,13.2
total_operating_funds,12,2392.5
capital_improvement,12,211.3
industrial_and_commercial_dev,12,10.9
total_capital_funds,12,222.2
total_fund_equity,12,2614.7
