0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2024,,,,,FISCAL YEAR 2025,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,69,0,69,100,0,100,77,0,77,23
Office of Education,3,0,3,9,0,9,4,0,4,5
Office of Homeless Services,129,21,150,149,39,188,149,24,173,15
Office of Human Resources,91,0,91,99,0,99,91,0,91,8
Office of Innovation and Technology,369,108,477,421,159,580,359,107,466,114
Office of the Inspector General,18,0,18,26,0,26,20,0,20,6
Office of Property Assessment,178,0,178,226,0,226,185,0,185,41
Office of Sustainability,23,2,25,23,6,29,21,2,23,6
Parks and Recreation,680,18,698,926,34,960,683,17,700,260
Planning & Development,78,66,144,86,82,168,75,64,139,29
Police Total,"6,204",109,"6,313","7,610",273,"7,883","6,192",100,"6,292","1,591"
Civilian,866,6,872,"1,230",131,"1,361",868,6,874,487
Uniform,"5,338",103,"5,441","6,380",142,"6,522","5,324",94,"5,418","1,104"
Prisons,"1,266",0,"1,266","2,186",0,"2,186","1,390",0,"1,390",796
Procurement,36,0,36,53,2,55,36,0,36,19
Public Health,730,184,914,871,211,"1,082",751,174,925,157
Public Property,125,0,125,158,0,158,100,0,100,58
Records,55,0,55,60,0,60,56,0,56,4
Register of Wills,64,0,64,85,0,85,71,0,71,14
Revenue,341,186,527,400,221,621,340,191,531,90
Sheriff,318,0,318,459,0,459,321,0,321,138
Streets,"1,495",657,"2,152","1,885",820,"2,705","1,639",684,"2,323",382
Water,0,"2,022","2,022",0,"2,557","2,557",0,"2,086","2,086",471
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"20,865","6,254","27,119","25,932","7,913","33,845","21,438","6,339","27,777","6,068"
