0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2024,,,,,FISCAL YEAR 2025,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),113,0,113,138,0,138,125,0,125,13
Aviation,0,679,679,0,900,900,0,733,733,167
Board of Ethics,10,0,10,14,0,14,11,0,11,3
Board of Pensions,0,59,59,0,73,73,0,56,56,17
Board of Revision of Taxes,17,0,17,17,0,17,17,0,17,0
City Commissioners (Election Board),159,0,159,200,0,200,176,1,177,23
City Council,198,0,198,215,0,215,208,0,208,7
City Treasurer,19,0,19,23,0,23,22,0,22,1
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,58,21,79,84,24,108,61,23,84,24
District Attorney Total,563,114,677,642,70,712,628,72,700,12
Civilian,530,109,639,608,64,672,593,68,661,11
Uniform,33,5,38,34,6,40,35,4,39,1
Finance,126,0,126,142,5,147,129,4,133,14
Fire Total,"2,815",72,"2,887","3,392",81,"3,473","2,766",70,"2,836",637
Civilian,135,1,136,177,1,178,136,0,136,42
Uniform,"2,680",71,"2,751","3,215",80,"3,295","2,630",70,"2,700",595
First Judicial District,"1,707",382,"2,089","1,710",439,"2,149","1,747",390,"2,137",12
Fleet Services,269,62,331,319,84,403,275,67,342,61
Free Library,814,7,821,"1,009",8,"1,017",853,8,861,156
Human Relations Commission,34,0,34,35,0,35,34,0,34,1
Human Services (1),441,"1,076","1,517",551,"1,347","1,898",433,"1,058","1,491",407
Labor,36,0,36,57,0,57,39,0,39,18
Law,223,48,271,226,51,277,234,52,286,(9)
Licenses & Inspections,351,7,358,441,8,449,378,7,385,64
L&I-Board of Building Standards,2,0,2,1,0,1,1,0,1,0
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
Managing Director's Office,475,93,568,645,71,716,556,79,635,81
Mayor's Office,93,0,93,113,0,113,76,0,76,37
Mayor's Office-Comm. Empowerment & Opp.,13,37,50,50,59,109,41,38,79,30
Mural Arts Program,10,0,10,10,0,10,10,0,10,0
Office of Arts and Culture,0,0,0,9,0,9,6,0,6,3
Office of Behavioral HIth & Intellectual disAbility,44,224,268,53,288,341,48,231,279,62
