category,fiscal_month,amount
real_estate_tax,1,11.1
total_wage_earnings_net_profits,1,179.0
realty_transfer_tax,1,28.2
sales_tax,1,34.6
business_income_and_receipts_tax,1,14.5
beverage_tax,1,6.5
other_taxes,1,4.2
locally_generated_nontax,1,41.8
total_other_governments,1,5.9
total_pica_other_governments,1,57.2
interfund_transfers,1,419.5
total_current_revenue,1,802.4
collection_of_prior_year_revenue,1,0.1
other_fund_balance_adjustments,1,0.0
total_cash_receipts,1,802.5
real_estate_tax,2,10.5
total_wage_earnings_net_profits,2,131.8
realty_transfer_tax,2,25.9
sales_tax,2,37.9
business_income_and_receipts_tax,2,9.4
beverage_tax,2,5.8
other_taxes,2,4.5
locally_generated_nontax,2,37.5
total_other_governments,2,7.0
total_pica_other_governments,2,48.6
interfund_transfers,2,0.0
total_current_revenue,2,319.1
collection_of_prior_year_revenue,2,13.3
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,332.3
real_estate_tax,3,7.8
total_wage_earnings_net_profits,3,146.3
realty_transfer_tax,3,39.7
sales_tax,3,15.6
business_income_and_receipts_tax,3,44.6
beverage_tax,3,5.6
other_taxes,3,9.8
locally_generated_nontax,3,40.8
total_other_governments,3,175.4
total_pica_other_governments,3,72.2
interfund_transfers,3,0.0
total_current_revenue,3,557.9
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,557.9
real_estate_tax,4,8.1
total_wage_earnings_net_profits,4,193.4
realty_transfer_tax,4,24.7
sales_tax,4,17.3
business_income_and_receipts_tax,4,34.5
beverage_tax,4,5.9
other_taxes,4,3.4
locally_generated_nontax,4,26.1
total_other_governments,4,87.8
total_pica_other_governments,4,53.8
interfund_transfers,4,0.0
total_current_revenue,4,454.9
collection_of_prior_year_revenue,4,29.6
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,484.4
real_estate_tax,5,8.1
total_wage_earnings_net_profits,5,152.5
realty_transfer_tax,5,21.8
sales_tax,5,19.5
business_income_and_receipts_tax,5,4.7
beverage_tax,5,5.6
other_taxes,5,4.2
locally_generated_nontax,5,32.0
total_other_governments,5,21.5
total_pica_other_governments,5,48.1
interfund_transfers,5,0.0
total_current_revenue,5,318.0
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,318.0
real_estate_tax,6,34.8
total_wage_earnings_net_profits,6,142.3
realty_transfer_tax,6,22.1
sales_tax,6,17.6
business_income_and_receipts_tax,6,24.9
beverage_tax,6,5.7
other_taxes,6,4.1
locally_generated_nontax,6,27.9
total_other_governments,6,6.3
total_pica_other_governments,6,51.5
interfund_transfers,6,0.0
total_current_revenue,6,337.1
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,337.1
real_estate_tax,7,37.8
total_wage_earnings_net_profits,7,208.1
realty_transfer_tax,7,23.0
sales_tax,7,16.2
business_income_and_receipts_tax,7,27.5
beverage_tax,7,5.8
other_taxes,7,4.3
locally_generated_nontax,7,32.0
total_other_governments,7,19.2
total_pica_other_governments,7,67.2
interfund_transfers,7,0.0
total_current_revenue,7,441.1
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,441.1
real_estate_tax,8,92.5
total_wage_earnings_net_profits,8,148.9
realty_transfer_tax,8,17.3
sales_tax,8,21.4
business_income_and_receipts_tax,8,6.3
beverage_tax,8,5.3
other_taxes,8,4.1
locally_generated_nontax,8,26.4
total_other_governments,8,13.1
total_pica_other_governments,8,49.6
interfund_transfers,8,0.0
total_current_revenue,8,384.9
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,384.9
real_estate_tax,9,541.7
total_wage_earnings_net_profits,9,170.3
realty_transfer_tax,9,24.5
sales_tax,9,24.8
business_income_and_receipts_tax,9,62.4
beverage_tax,9,5.6
other_taxes,9,3.9
locally_generated_nontax,9,31.3
total_other_governments,9,0.5
total_pica_other_governments,9,51.1
interfund_transfers,9,0.0
total_current_revenue,9,916.1
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,916.1
real_estate_tax,10,142.1
total_wage_earnings_net_profits,10,199.8
realty_transfer_tax,10,23.5
sales_tax,10,36.1
business_income_and_receipts_tax,10,296.0
beverage_tax,10,6.2
other_taxes,10,4.4
locally_generated_nontax,10,26.0
total_other_governments,10,16.6
total_pica_other_governments,10,98.1
interfund_transfers,10,0.0
total_current_revenue,10,848.8
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,848.8
real_estate_tax,11,18.7
total_wage_earnings_net_profits,11,155.8
realty_transfer_tax,11,24.8
sales_tax,11,36.9
business_income_and_receipts_tax,11,69.0
beverage_tax,11,6.1
other_taxes,11,3.5
locally_generated_nontax,11,34.7
total_other_governments,11,23.8
total_pica_other_governments,11,78.6
interfund_transfers,11,0.0
total_current_revenue,11,451.8
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,451.8
real_estate_tax,12,11.6
total_wage_earnings_net_profits,12,141.2
realty_transfer_tax,12,23.2
sales_tax,12,36.9
business_income_and_receipts_tax,12,23.0
beverage_tax,12,6.3
other_taxes,12,1.8
locally_generated_nontax,12,27.8
total_other_governments,12,28.6
total_pica_other_governments,12,58.3
interfund_transfers,12,25.9
total_current_revenue,12,384.6
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,0.0
total_cash_receipts,12,384.6
real_estate_tax,13,925.0
total_wage_earnings_net_profits,13,1969.6
realty_transfer_tax,13,298.8
sales_tax,13,314.7
business_income_and_receipts_tax,13,616.7
beverage_tax,13,70.4
other_taxes,13,52.1
locally_generated_nontax,13,384.2
total_other_governments,13,405.6
total_pica_other_governments,13,734.2
interfund_transfers,13,445.3
total_current_revenue,13,6216.6
collection_of_prior_year_revenue,13,43.0
other_fund_balance_adjustments,13,0.0
total_cash_receipts,13,6259.5
