0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&I-Board of L & Review,,,,,,,,,,,
Full-Time Positions,2,2,1,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"134,513","169,767","170,691","101,870","101,870",0,"172,107","175,933","178,578","(6,471)","(2,645)"
Class 100 Overtime Oblig./Approp.,"2,983",0,0,0,356,(356),0,0,"1,000","(1,000)","(1,000)"
Managing Director's Office,,,,,,,,,,,
Full-Time Positions,324,387,475,556,556,0,645,645,645,0,0
Class 100 Total Oblig./Approp.,"31,958,314","27,997,355","36,726,319","19,381,128","19,381,128",0,"47,551,654","48,987,545","49,083,276","(1,531,622)","(95,731)"
Class 100 Overtime Oblig./Approp.,"847,036","1,431,858","1,795,346","588,426","797,630","(209,204)","976,852","1,176,852","1,576,852","(600,000)","(400,000)"
MDO-Base,,,,,,,,,,,
Full-Time Positions,311,371,452,477,477,0,598,562,558,40,4
Class 100 Total Oblig./Approp.,"31,286,076","26,916,485","35,645,449","16,090,700","16,090,700",0,"42,089,856","43,443,357","43,539,088","(1,449,232)","(95,731)"
Class 100 Overtime Oblig./Approp.,"847,036","1,431,858","1,795,346","588,426","797,630","(209,204)","976,852","1,176,852","1,576,852","(600,000)","(400,000)"
MDO-Citizens Police Oversight Comm.,,,,,,,,,,,
Full-Time Positions,13,16,23,22,22,0,25,25,25,0,0
Class 100 Total Oblig./Approp.,"672,238","1,080,870","1,080,870","891,118","891,118",0,"2,203,640","2,286,030","2,286,030","(82,390)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
MDO-Clean and Green,,,,,,,,,,,
Full-Time Positions,0,0,0,2,2,0,7,7,7,0,0
Class 100 Total Oblig./Approp.,0,0,0,"153,718","153,718",0,"1,055,000","1,055,000","1,055,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
MDO-Public Safety,,,,,,,,,,,
Full-Time Positions,0,0,0,55,55,0,15,51,55,(40),(4)
Class 100 Total Oblig./Approp.,0,0,0,"2,245,592","2,245,592",0,"2,203,158","2,203,158","2,203,158",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,60,53,93,76,76,0,113,113,113,0,0
Class 100 Total Oblig./Approp.,"5,673,722","5,950,965","7,498,029","4,696,708","4,696,708",0,"13,390,483","13,883,567","13,883,567","(493,084)",0
Class 100 Overtime Oblig./Approp.,0,0,563,0,281,(281),0,0,"1,000","(1,000)","(1,000)"
