0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
L&l-Board of L & Review,,,,,,,,,,,
Full-Time Positions,2,2,1,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"134,513","169,767","170,691","42,909","42,909",0,"172,107","172,107","175,933","(3,826)","(3,826)"
Class 100 Overtime Oblig./Approp.,"2,983",0,0,0,0,0,0,0,0,0,0
Managing Director's Office,,,,,,,,,,,
Full-Time Positions,324,387,475,539,539,0,645,645,645,0,0
Class 100 Total Oblig./Approp.,"31,958,314","27,997,355","36,726,319","8,250,818","8,250,818",0,"47,551,654","47,551,654","48,987,545","(1,435,891)","(1,435,891)"
Class 100 Overtime Oblig./Approp.,"847,036","1,431,858","1,795,346","244,213","300,783","(56,570)","976,852","976,852","1,176,852","(200,000)","(200,000)"
MDO-Base,,,,,,,,,,,
Full-Time Positions,311,371,452,464,464,0,598,598,562,36,36
Class 100 Total Oblig./Approp.,"31,286,076","26,916,485","35,645,449","7,218,227","7,218,227",0,"42,089,856","42,089,856","43,443,357","(1,353,501)","(1,353,501)"
Class 100 Overtime Oblig./Approp.,"847,036","1,431,858","1,795,346","244,213","300,783","(56,570)","976,852","976,852","1,176,852","(200,000)","(200,000)"
MDO-Citizens Police Oversight Comm.,,,,,,,,,,,
Full-Time Positions,13,16,23,22,22,0,25,25,25,0,0
Class 100 Total Oblig./Approp.,"672,238","1,080,870","1,080,870","410,306","410,306",0,"2,203,640","2,203,640","2,286,030","(82,390)","(82,390)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
MDO-Clean and Green,,,,,,,,,,,
Full-Time Positions,0,0,0,2,2,0,7,7,7,0,0
Class 100 Total Oblig./Approp.,0,0,0,"59,847","59,847",0,"1,055,000","1,055,000","1,055,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
MDO-Public Safety,,,,,,,,,,,
Full-Time Positions,0,0,0,51,51,0,15,15,51,(36),(36)
Class 100 Total Oblig./Approp.,0,0,0,"562,438","562,438",0,"2,203,158","2,203,158","2,203,158",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mayor's Office,,,,,,,,,,,
Full-Time Positions,60,53,93,81,81,0,113,113,113,0,0
Class 100 Total Oblig./Approp.,"5,673,722","5,950,965","7,498,029","2,071,949","2,071,949",0,"13,390,483","13,390,483","13,883,567","(493,084)","(493,084)"
Class 100 Overtime Oblig./Approp.,0,0,563,0,113,(113),0,0,0,0,0
