0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Records,,,,,,,,,,,
Full-Time Positions,54,53,55,56,56,0,60,60,60,0,0
Class 100 Total Oblig./Approp.,"3,202,359","3,229,777","3,334,130","1,719,087","1,719,087",0,"3,623,071","3,710,925","3,809,387","(186,316)","(98,462)"
Class 100 Overtime Oblig./Approp.,"282,392","183,184","139,352","43,491","61,979","(18,488)","86,981","86,981","126,981","(40,000)","(40,000)"
Register of Wills,,,,,,,,,,,
Full-Time Positions,67,63,64,71,71,0,85,85,85,0,0
Class 100 Total Oblig./Approp.,"4,221,694","4,089,933","4,353,222","2,228,224","2,228,224",0,"5,200,243","5,281,835","5,392,287","(192,044)","(110,452)"
Class 100 Overtime Oblig./Approp.,"5,641",0,513,0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,328,327,341,340,340,0,400,400,400,0,0
Class 100 Total Oblig./Approp.,"20,432,060","20,382,438","20,884,903","11,860,400","11,860,400",0,"23,701,664","24,430,601","24,878,328","(1,176,664)","(447,727)"
Class 100 Overtime Oblig./Approp.,"339,671","398,174","366,163","235,000","138,169","96,831","470,000","470,000","470,000",0,0
Sheriff,,,,,,,,,,,
Full-Time Positions,343,328,318,321,321,0,459,459,459,0,0
Class 100 Total Oblig./Approp.,"26,834,747","28,108,343","29,119,333","15,328,396","15,328,396",0,"31,732,741","31,858,417","31,933,748","(201,007)","(75,331)"
Class 100 Overtime Oblig./Approp.,"4,021,949","5,238,972","6,300,220","3,000,000","3,548,109","(548,109)","6,000,000","6,000,000","6,000,000",0,0
Streets,,,,,,,,,,,
Full-Time Positions,"2,072","2,068","1,495","1,639","1,639",0,"1,885","1,885","1,885",0,0
Class 100 Total Oblig./Approp.,"99,660,073","110,599,547","84,026,833","44,640,007","44,640,007",0,"96,254,427","96,665,575","101,052,399","(4,797,972)","(4,386,824)"
Class 100 Overtime Oblig./Approp.,"17,741,782","16,970,691","17,088,338","9,041,500","8,363,270","678,230","18,083,000","18,083,000","18,083,000",0,0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"21,055","21,271","20,865","21,438","21,438",0,"25,932","25,932","25,932",0,0
Class 100 Total Oblig./Approp.,"1,890,714,287","1,975,600,771","2,038,411,191","1,038,970,965","1,038,970,965",0,"2,279,090,769","2,305,801,535","2,328,450,604","(49,359,835)","(22,649,069)"
Class 100 Overtime Oblig./Approp.,"215,014,701","249,647,862","263,782,463","142,552,182","153,171,195","(10,619,013)","284,536,356","285,104,356","300,093,856","(15,557,500)","(14,989,500)"
