0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,613,678,680,683,683,0,926,926,926,0,0
Class 100 Total Oblig./Approp.,"51,586,651","56,440,606","61,046,133","32,514,597","32,514,597",0,"64,409,830","65,865,522","67,054,156","(2,644,326)","(1,188,634)"
Class 100 Overtime Oblig./Approp.,"4,101,277","5,408,222","5,165,951","2,296,550","3,185,675","(889,125)","4,593,100","4,593,100","5,293,100","(700,000)","(700,000)"
Planning and Development,,,,,,,,,,,
Full-Time Positions,54,66,78,75,75,0,86,86,86,0,0
Class 100 Total Oblig./Approp.,"4,756,995","5,252,008","6,273,932","3,241,471","3,241,471",0,"6,658,034","6,984,574","7,005,940","(347,906)","(21,366)"
Class 100 Overtime Oblig./Approp.,"22,401","24,704","42,877","12,500","16,405","(3,905)","6,000","25,000","32,000","(26,000)","(7,000)"
Police,,,,,,,,,,,
Full-Time Positions,"6,651","6,351","6,204","6,192","6,192",0,"7,610","7,610","7,610",0,0
Class 100 Total Oblig./Approp.,"727,678,591","761,129,391","760,098,007","379,009,533","379,009,533",0,"841,047,186","842,489,515","843,093,782","(2,046,596)","(604,267)"
Class 100 Overtime Oblig./Approp.*,"76,002,003","96,768,961","103,706,378","59,785,500","64,608,870","(4,823,370)","119,571,000","119,571,000","127,571,000","(8,000,000)","(8,000,000)"
Prisons,,,,,,,,,,,
Full-Time Positions,"1,393","1,312","1,266","1,390","1,390",0,"2,186","2,186","2,186",0,0
Class 100 Total Oblig./Approp.,"118,473,913","118,891,418","122,621,394","67,610,177","67,610,177",0,"172,652,248","173,394,307","173,493,999","(841,751)","(99,692)"
Class 100 Overtime Oblig./Approp.,"29,907,097","33,336,433","34,393,603","17,844,410","19,370,793","(1,526,383)","35,688,819","35,688,819","35,688,819",0,0
Procurement,,,,,,,,,,,
Full-Time Positions,35,36,36,36,36,0,53,53,53,0,0
Class 100 Total Oblig./Approp.,"2,665,060","2,585,104","3,005,029","1,497,118","1,497,118",0,"3,158,682","3,313,339","3,324,476","(165,794)","(11,137)"
Class 100 Overtime Oblig./Approp.,"1,962","1,738","7,017","24,500","13,394","11,106","4,000","49,000","49,000","(45,000)",0
Public Health,,,,,,,,,,,
Full-Time Positions,689,690,730,751,751,0,871,871,871,0,0
Class 100 Total Oblig./Approp.,"60,210,880","60,916,653","66,270,446","34,963,995","34,963,995",0,"69,433,197","71,481,798","72,473,941","(3,040,744)","(992,143)"
Class 100 Overtime Oblig./Approp.,"2,434,412","2,703,650","3,083,707","1,356,170","1,465,131","(108,961)","2,712,339","2,712,339","2,712,339",0,0
Public Property,,,,,,,,,,,
Full-Time Positions,133,119,125,100,100,0,158,158,158,0,0
Class 100 Total Oblig./Approp.,"10,124,679","10,279,133","11,736,108","3,852,469","3,852,469",0,"9,499,821","9,694,192","9,922,975","(423,154)","(228,783)"
Class 100 Overtime Oblig./Approp.,"228,450","602,379","1,354,761","572,235","508,937","63,298","944,470","1,144,470","1,144,470","(200,000)",0
