0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,,,,
Full-Time Positions,35,53,58,61,61,0,84,84,84,0,0
Class 100 Total Oblig./Approp.,"2,601,371","3,614,784","4,623,419","2,463,534","2,463,534",0,"5,052,861","5,261,873","5,267,341","(214,480)","(5,468)"
Class 100 Overtime Oblig./Approp.,0,0,60,"5,000",307,"4,693","10,000","10,000","10,000",0,0
District Attorney,,,,,,,,,,,
Full-Time Positions,503,573,563,628,628,0,642,642,642,0,0
Class 100 Total Oblig./Approp. *,"39,764,411","43,824,953","49,912,929","25,534,751","25,534,751",0,"50,075,638","51,962,385","53,285,018","(3,209,380)","(1,322,633)"
Class 100 Overtime Oblig./Approp.*,"169,371","169,935","344,572","112,500","349,333","(236,833)","225,000","225,000","350,000","(125,000)","(125,000)"
Finance,,,,,,,,,,,
Full-Time Positions,122,121,126,129,129,0,142,142,142,0,0
Class 100 Total Oblig./Approp.,"9,986,109","10,658,385","11,886,757","5,933,624","5,933,624",0,"11,712,986","12,203,702","12,364,898","(651,912)","(161,196)"
Class 100 Overtime Oblig./Approp.,"125,778","117,808","117,760","72,500","72,618",(118),"145,000","145,000","145,000",0,0
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,497,028","4,334,997","6,475,123","6,941,908","6,941,908",0,"7,200,000","7,200,000","7,200,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,667","2,794","2,815","2,766","2,766",0,"3,392","3,392","3,392",0,0
Class 100 Total Oblig./Approp.,"341,171,247","354,132,093","372,902,008","191,366,851","191,366,851",0,"388,463,277","388,686,245","396,690,579","(8,227,302)","(8,004,334)"
Class 100 Overtime Oblig./Approp.,"68,452,340","72,511,849","73,644,719","40,331,269","43,880,854","(3,549,585)","80,662,538","80,662,538","85,662,538","(5,000,000)","(5,000,000)"
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,686","1,685","1,707","1,747","1,747",0,"1,710","1,710","1,710",0,0
Class 100 Total Oblig./Approp.,"101,924,504","102,223,039","104,836,174","52,221,597","52,221,597",0,"118,482,716","122,372,701","122,478,178","(3,995,462)","(105,477)"
Class 100 Overtime Oblig./Approp.,"14,688","67,109","70,166","44,350","28,743","15,607","88,700","88,700","88,700",0,0
Fleet Services,,,,,,,,,,,
Full-Time Positions,266,266,269,275,275,0,319,319,319,0,0
Class 100 Total Oblig./Approp.,"18,075,554","19,228,085","20,638,006","10,083,507","10,083,507",0,"21,146,675","21,355,614","22,736,735","(1,590,060)","(1,381,121)"
Class 100 Overtime Oblig./Approp.,"1,986,852","3,123,330","3,011,839","1,556,913","1,376,391","180,522","3,113,825","3,113,825","3,113,825",0,0
