0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"42,679,821","10,895,807","10,895,807",0,"43,226,201","43,226,201","44,096,448","(870,247)","(870,247)"
L&I-Board of Building Standards,"86,372","20,427","20,427",0,"86,609","86,609","90,074","(3,465)","(3,465)"
L&I-Board of L & | Review,"181,127","53,345","53,345",0,"182,543","182,543","186,369","(3,826)","(3,826)"
Managing Director-Base,"187,859,110","64,208,150","64,208,150",0,"177,556,197","177,556,197","268,409,698","(90,853,501)","(90,853,501)"
Managing Director-Citizens Police Oversight Commission,"1,390,833","461,529","461,529",0,"3,023,642","3,023,642","3,106,032","(82,390)","(82,390)"
Managing Director-Defender Association,"54,283,600","66,497,780","66,497,780",0,"65,997,780","65,997,780","66,497,780","(500,000)","(500,000)"
Managing Director-Clean and Green (3),0,"59,847","59,847",0,"1,055,000","1,055,000","1,055,000",0,0
Managing Director-Public Safety (3),0,"2,675,532","2,675,532",0,"13,384,101","13,384,101","13,384,101",0,0
Mayor's Office,"8,201,125","2,287,061","2,287,061",0,"15,275,533","15,275,533","15,768,617","(493,084)","(493,084)"
Mayor's Office-Scholarships,"60,043",0,0,0,0,0,0,0,0
Mayor's Office-Comm. Empowerment & Opp.,"2,666,794","1,191,442","1,191,442",0,"5,913,909","5,913,909","5,953,222","(39,313)","(39,313)"
Mural Arts Program,"3,506,907","122,164","122,164",0,"3,683,320","3,683,320","3,707,386","(24,066)","(24,066)"
Office of Arts and Culture (3),0,"800,000","800,000",0,"10,825,601","10,825,601","10,825,601",0,0
Office of Behavioral HIth & Intellectual disAbility,"29,724,186","11,504,522","11,504,522",0,"28,998,703","28,998,703","29,200,354","(201,651)","(201,651)"
Office of the Chief Administrative Officer,"14,546,475","4,112,506","4,112,506",0,"20,225,522","20,225,522","20,434,573","(209,051)","(209,051)"
Office of Education,"481,098","124,852","124,852",0,"949,098","949,098","970,866","(21,768)","(21,768)"
Office of Homeless Services,"82,062,853","45,953,470","45,953,470",0,"88,714,379","88,714,379","89,142,207","(427,828)","(427,828)"
Office of Human Resources,"14,033,058","2,153,366","2,153,366",0,"10,376,056","10,376,056","10,609,786","(233,730)","(233,730)"
Office of Innovation and Technology-Base,"91,889,056","40,450,009","40,450,009",0,"107,622,232","107,622,232","109,107,306","(1,485,074)","(1,485,074)"
Office of Innovation and Technology-911,"13,930,680","10,759,451","10,759,451",0,"27,840,014","27,840,014","27,840,014",0,0
Office of the Inspector General,"1,875,081","462,176","462,176",0,"2,846,548","2,846,548","2,917,417","(70,869)","(70,869)"
Office of Property Assessment,"15,397,406","4,242,239","4,242,239",0,"18,310,182","18,310,182","19,018,995","(708,813)","(708,813)"
Office of Sustainability,"3,442,572","596,063","596,063",0,"2,450,013","2,450,013","2,541,317","(91,304)","(91,304)"
Parks and Recreation,"83,254,916","27,199,064","27,199,064",0,"81,498,310","81,498,310","84,954,002","(3,455,692)","(3,455,692)"
Planning & Development,"32,729,325",4.560.584,"4,560,584",0,"17,780,802","17,780,802","18,107,342","(326,540)","(326,540)"
Police,"873,063,727","187,025,088","187,025,088",0,"877,435,832","877,435,832","878,878,161","(1,442,329)","(1,442,329)"
Prisons,"253,147,157","111,676,363","111,676,363",0,"300,962,781","300,962,781","301,704,840","(742,059)","(742,059)"
Procurement,"6,170,980","1,413,569","1,413,569",0,"6,769,498","6,769,498","6,924,155","(154,657)","(154,657)"
Public Health,"152,109,295","58,308,361","58,308,361",0,"151,826,661","151,826,661","153,875,262","(2,048,601)","(2,048,601)"
Public Property,"98,064,728","40,201,777","40,201,777",0,"88,063,779","88,063,779","88,258,150","(194,371)","(194,371)"
Public Property-SEPTA Subsidy,"109,567,000",0,0,0,"133,291,440","133,291,440","133,291,440",0,0
Public Property-Space Rentals,"37,309,097","37,705,029","37,705,029",0,"40,038,929","40,038,929","40,038,929",0,0
Public Property-Utilities,"28,534,487","26,074,511","26,074,511",0,"26,276,250","26,276,250","26,276,250",0,0
Records,"4,368,412","1,290,882","1,290,882",0,"4,595,951","4,595,951","4,683,805","(87,854)","(87,854)"
Register of Wills,"5,045,259","1,028,379","1,028,379",0,"5,774,798","5,774,798","5,856,390","(81,592)","(81,592)"
Revenue,"25,735,865","7,774,158","7,774,158",0,"31,997,395","31,997,395","32,726,332","(728,937)","(728,937)"
Sheriff,"32,881,063","8,411,063","8,411,063",0,"35,666,954","35,666,954","35,792,630","(125,676)","(125,676)"
Sinking Fund Commission (Debt Service),"294,424,846","168,042,809","168,042,809",0,"355,527,473","355,527,473","355,527,473",0,0
Streets-Disposal,"55,899,306","15,520,868","15,520,868",0,"59,589,127","59,589,127","59,589,127",0,0
Streets,"147,351,294","23,749,557","23,749,557",0,"107,541,318","107,541,318","107,952,466","(411,148)","(411,148)"
TOTAL GENERAL FUND,"6,134,734,538","1,876,512,136","1,876,512,136",0,"6,367,483,000","6,367,483,000","6,592,383,000","(224,900,000)","(224,900,000)"
