0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"42,679,821","21,064,344","21,064,344",0,"43,226,201","44,096,448","44,597,631","(1,371,430)","(501,183)"
L&I-Board of Building Standards,"86,372","49,573","49,573",0,"86,609","90,074","90,074","(3,465)",0
L&I-Board of L & | Review,"181,127","112,306","112,306",0,"182,543","186,369","189,014","(6,471)","(2,645)"
Managing Director-Base,"187,859,110","118,397,039","118,397,039",0,"177,556,197","268,409,698","250,657,429","(73,101,232)","17,752,269"
Managing Director-Citizens Police Oversight Commission,"1,390,833","1,003,622","1,003,622",0,"3,023,642","3,106,032","3,106,032","(82,390)",0
Managing Director-Defender Association,"54,283,600","66,497,780","66,497,780",0,"65,997,780","66,497,780","66,497,780","(500,000)",0
Managing Director-Clean and Green (3),0,"153,718","153,718",0,"1,055,000","1,055,000","1,055,000",0,0
Managing Director-Public Safety (3),0,"8,260,683","8,260,683",0,"13,384,101","13,384,101","13,384,101",0,0
Mayor's Office,"8,201,125","5,127,110","5,127,110",0,"15,275,533","15,768,617","15,768,617","(493,084)",0
Mayor's Office-Scholarships,"60,043",0,0,0,0,0,0,0,0
Mayor's Office-Comm. Empowerment & Opp.,"2,666,794","2,379,091","2,379,091",0,"5,913,909","5,953,222","5,953,222","(39,313)",0
Mural Arts Program,"3,506,907","3,332,065","3,332,065",0,"3,683,320","3,707,386","4,207,386","(524,066)","(500,000)"
Office of Arts and Culture (3),0,"10,435,951","10,435,951",0,"10,825,601","10,825,601","13,425,601","(2,600,000)","(2,600,000)"
Office of Behavioral HIth & Intellectual disAbility,"29,724,186","23,969,446","23,969,446",0,"28,998,703","29,200,354","29,202,796","(204,093)","(2,442)"
Office of the Chief Administrative Officer,"14,546,475","7,949,776","7,949,776",0,"20,225,522","20,434,573","20,467,630","(242,108)","(33,057)"
Office of Education,"481,098","277,325","277,325",0,"949,098","970,866","970,866","(21,768)",0
Office of Homeless Services,"82,062,853","67,373,040","67,373,040",0,"88,714,379","89,142,207","89,243,868","(529,489)","(101,661)"
Office of Human Resources,"14,033,058","5,195,083","5,195,083",0,"10,376,056","10,609,786","11,040,860","(664,804)","(431,074)"
Office of Innovation and Technology-Base,"91,889,056","68,302,257","68,302,257",0,"107,622,232","109,107,306","113,152,565","(5,530,333)","(4,045,259)"
Office of Innovation and Technology-911,"13,930,680","19,364,444","19,364,444",0,"27,840,014","27,840,014","27,840,014",0,0
Office of the Inspector General,"1,875,081","949,008","949,008",0,"2,846,548","2,917,417","2,917,417","(70,869)",0
Office of Property Assessment,"15,397,406","8,527,647","8,527,647",0,"18,310,182","19,018,995","19,104,551","(794,369)","(85,556)"
Office of Sustainability,"3,442,572","1,251,231","1,251,231",0,"2,450,013","2,541,317","2,741,317","(291,304)","(200,000)"
Parks and Recreation,"83,254,916","43,114,547","43,114,547",0,"81,498,310","84,954,002","90,920,501","(9,422,191)","(5,966,499)"
Planning & Development,"32,729,325","6,757,170","6,757,170",0,"17,780,802","18,107,342","20,078,708","(2,297,906)","(1,971,366)"
Police,"873,063,727","402,820,295","402,820,295",0,"877,435,832","878,878,161","882,108,539","(4,672,707)","(3,230,378)"
Prisons,"253,147,157","153,053,197","153,053,197",0,"300,962,781","301,704,840","306,654,532","(5,691,751)","(4,949,692)"
Procurement,"6,170,980","3,198,268","3,198,268",0,"6,769,498","6,924,155","6,935,292","(165,794)","(11,137)"
Public Health,"152,109,295","90,776,153","90,776,153",0,"151,826,661","153,875,262","155,202,405","(3,375,744)","(1,327,143)"
Public Property,"98,064,728","45,985,868","45,985,868",0,"88,063,779","88,258,150","92,937,596","(4,873,817)","(4,679,446)"
Public Property-SEPTA Subsidy,"109,567,000","67,892,440","67,892,440",0,"133,291,440","133,291,440","133,291,440",0,0
Public Property-Space Rentals,"37,309,097","39,029,464","39,029,464",0,"40,038,929","40,038,929","40,038,929",0,0
Public Property-Utilities,"28,534,487","26,115,017","26,115,017",0,"26,276,250","26,276,250","26,276,250",0,0
Records,"4,368,412","2,344,065","2,344,065",0,"4,595,951","4,683,805","4,782,267","(186,316)","(98,462)"
Register of Wills,"5,045,259","2,438,897","2,438,897",0,"5,774,798","5,856,390","5,966,842","(192,044)","(110,452)"
Revenue,"25,735,865","15,409,558","15,409,558",0,"31,997,395","32,726,332","33,174,059","(1,176,664)","(447,727)"
Sheriff,"32,881,063","17,344,666","17,344,666",0,"35,666,954","35,792,630","35,867,961","(201,007)","(75,331)"
Sinking Fund Commission (Debt Service),"294,424,846","204,812,659","204,812,659",0,"355,527,473","355,527,473","355,527,473",0,0
Streets-Disposal,"55,899,306","35,113,439","35,113,439",0,"59,589,127","59,589,127","59,589,127",0,0
Streets,"147,351,294","49,073,442","49,073,442",0,"107,541,318","107,952,466","112,339,290","(4,797,972)","(4,386,824)"
TOTAL GENERAL FUND,"6,134,734,538","3,139,951,725","3,139,951,725",0,"6,367,483,000","6,592,383,000","6,662,242,277","(294,759,277)","(69,859,277)"
