category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,243.7
opening_balance,1,2007.8
tran,1,0.0
closing_balance,1,2251.5
excess_of_receipts_over_disbursements,2,-149.3
opening_balance,2,2251.5
tran,2,0.0
closing_balance,2,2102.2
excess_of_receipts_over_disbursements,3,84.8
opening_balance,3,2102.2
tran,3,0.0
closing_balance,3,2187.1
excess_of_receipts_over_disbursements,4,-180.4
opening_balance,4,2187.1
tran,4,0.0
closing_balance,4,2006.7
excess_of_receipts_over_disbursements,5,-169.2
opening_balance,5,2006.7
tran,5,0.0
closing_balance,5,1837.5
excess_of_receipts_over_disbursements,6,-116.8
opening_balance,6,1837.5
tran,6,0.0
closing_balance,6,1720.7
excess_of_receipts_over_disbursements,7,23.9
opening_balance,7,1720.7
tran,7,0.0
closing_balance,7,1744.5
excess_of_receipts_over_disbursements,8,-90.7
opening_balance,8,1744.5
tran,8,0.0
closing_balance,8,1653.9
excess_of_receipts_over_disbursements,9,-219.0
opening_balance,9,1653.9
tran,9,0.0
closing_balance,9,1434.9
excess_of_receipts_over_disbursements,10,422.6
opening_balance,10,1434.9
tran,10,0.0
closing_balance,10,1857.4
excess_of_receipts_over_disbursements,11,-101.8
opening_balance,11,1857.4
tran,11,0.0
closing_balance,11,1755.6
excess_of_receipts_over_disbursements,12,-109.9
opening_balance,12,1755.6
tran,12,0.0
closing_balance,12,1645.7
