0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Prisons,,,,,,,
Personal Services,"147,763,998","31,638,435","179,402,433","742,238","180,144,671","475,057","180,619,728"
Purchase of Services,"116,115,652","6,446,094","122,561,746",0,"122,561,746","1,625,000","124,186,746"
"Materials, Supplies & Equip.","5,773,663","806,345","6,580,008",0,"6,580,008","4,600,000","11,180,008"
"Contrib., Indemnities & Taxes","30,904,013","(29,202,256)","1,701,757",0,"1,701,757",0,"1,701,757"
Total,"300,557,326","9,688,618","310,245,944","742,238","310,988,182","6,700,057","317,688,239"
Procurement,,,,,,,
Personal Services,"2,735,358","558,415","3,293,773","30,085","3,323,858","128,273","3,452,131"
Purchase of Services,"4,123,426","(559,478)","3,563,948","1,738,216","5,302,164","(888,216)","4,413,948"
"Materials, Supplies & Equip.","14,568","32,300","46,868",0,"46,868",0,"46,868"
Total,"6,873,352","31,237","6,904,589","1,768,301","8,672,890","(759,943)","7,912,947"
Public Health,,,,,,,
Personal Services,"72,458,296","(15,372)","72,442,924","2,925,238","75,368,162","4,971,496","80,339,658"
Purchase of Services,"64,283,638","6,433,436","70,717,074",0,"70,717,074","(1,918,615)","68,798,459"
"Materials, Supplies & Equip.","8,618,766","(294,440)","8,324,326",0,"8,324,326","112,329","8,436,655"
"Contrib., Indemnities & Taxes","4,000,012","(4,000,012)",0,0,0,0,0
Payments to Other Funds,"7,783,959","3,120,721","10,904,680",0,"10,904,680","(9,981,276)","923,404"
Total,"157,144,671","5,244,333","162,389,004","2,925,238","165,314,242","(6,816,066)","158,498,176"
Public Property,,,,,,,
Personal Services,"8,617,062","1,348,748","9,965,810","389,941","10,355,751","116,530","10,472,281"
Purchase of Services,"50,004,257","394,110","50,398,367","2,095,000","52,493,367","(1,216,522)","51,276,845"
"Materials, Supplies & Equip.","4,077,034","(2,222,068)","1,854,966",0,"1,854,966","(250,000)","1,604,966"
"Contrib., Indemnities & Taxes","194,500","(194,500)",0,0,0,0,0
Payments to Other Funds,"31,414,487","8,600,548","40,015,035",0,"40,015,035","4,070,870","44,085,905"
Total,"94,307,340","7,926,838","102,234,178","2,484,941","104,719,119","2,720,878","107,439,997"
Public Property-SEPTA Subsidy,,,,,,,
Purchase of Services,"133,291,440","1,697,560","134,989,000",0,"134,989,000",0,"134,989,000"
Total,"133,291,440","1,697,560","134,989,000",0,"134,989,000",0,"134,989,000"
Public Property-Space Rentals,,,,,,,
Purchase of Services,"39,570,856","18,165,464","57,736,320","(6,317,683)","51,418,637","11,712,201","63,130,838"
Total,"39,570,856","18,165,464","57,736,320","(6,317,683)","51,418,637","11,712,201","63,130,838"
Public Property-Utilities,,,,,,,
Purchase of Services,"27,148,234","6,429,769","33,578,003",0,"33,578,003","2,381,090","35,959,093"
Total,"27,148,234","6,429,769","33,578,003",0,"33,578,003","2,381,090","35,959,093"
Records,,,,,,,
Personal Services,"3,620,164","173,529","3,793,693","198,538","3,992,231","43,529","4,035,760"
Purchase of Services,"748,500","60,622","809,122",0,"809,122","(105,000)","704,122"
"Materials, Supplies & Equip.","141,207","2,551","143,758",0,"143,758",0,"143,758"
Total,"4,509,871","236,702","4,746,573","198,538","4,945,111","(61,471)","4,883,640"
Register of Wills,,,,,,,
Personal Services,"5,036,216","357,323","5,393,539","46,032","5,439,571","15,345","5,454,916"
Purchase of Services,"421,257","250,702","671,959",0,"671,959","(250,000)","421,959"
"Materials, Supplies & Equip.","151,781",815,"152,596",0,"152,596",0,"152,596"
"Contrib., Indemnities & Taxes","275,000","(275,000)",0,0,0,0,0
Total,"5,884,254","333,840","6,218,094","46,032","6,264,126","(234,655)","6,029,471"
Revenue,,,,,,,
Personal Services,"24,127,629","(447,784)","23,679,845","413,222","24,093,067","990,628","25,083,695"
Purchase of Services,"5,947,686","(883,037)","5,064,649","650,000","5,714,649","913,000","6,627,649"
"Materials, Supplies & Equip.","1,852,659","216,386","2,069,045",0,"2,069,045","(778,500)","1,290,545"
Total,"31,927,974","(1,114,435)","30,813,539","1,063,222","31,876,761","1,125,128","33,001,889"
Sanitation-Disposal,,,,,,,
Purchase of Services,"60,566,484","2,671,680","63,238,164",0,"63,238,164","2,037,659","65,275,823"
Total,"60,566,484","2,671,680","63,238,164",0,"63,238,164","2,037,659","65,275,823"
