0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Licenses & Inspection,,,,,,,
Personal Services,"30,019,946","741,461","30,761,407","1,375,343","32,136,750","1,589,234","33,725,984"
Purchase of Services,"12,303,107","1,885,337","14,188,444",0,"14,188,444","23,674","14,212,118"
"Materials, Supplies & Equip.","748,569","292,906","1,041,475",0,"1,041,475","1,469,000","2,510,475"
"Contrib., Indemnities & Taxes","326,750","(326,750)",0,0,0,0,0
Total,"43,398,372","2,592,954","45,991,326","1,375,343","47,366,669","3,081,908","50,448,577"
L&I-Board of Building Standards,,,,,,,
Personal Services,"91,834","(1,760)","90,074","3,416","93,490","1,414","94,904"
Total,"91,834","(1,760)","90,074","3,416","93,490","1,414","94,904"
L&I-Board of L&I Review,,,,,,,
Personal Services,"181,491","(4,558)","176,933","6,484","183,417",917,"184,334"
Purchase of Services,"10,436",0,"10,436",0,"10,436",0,"10,436"
Total,"191,927","(4,558)","187,369","6,484","193,853",917,"194,770"
Managing Director (4),,,,,,,
Personal Services,"38,813,248","(2,305,086)","36,508,162","658,766","37,166,928","44,394","37,211,322"
Purchase of Services,"155,133,578","(90,776,471)","64,357,107","3,672,683","68,029,790","3,891,448","71,921,238"
"Materials, Supplies & Equip.","5,746,768","(263,036)","5,483,732","350,000","5,833,732","(1,302,978)","4,530,754"
"Contrib., Indemnities & Taxes","440,254","(440,254)",0,0,0,0,0
Payments to Other Funds,"36,300,000","(35,950,000)","350,000",0,"350,000",0,"350,000"
Total,"236,433,848","(129,734,847)","106,699,001","4,681,449","111,380,450","2,632,864","114,013,314"
Managing Director-Defenders Association,,,,,,,
Purchase of Services,"66,497,780","2,550,000","69,047,780",0,"69,047,780",0,"69,047,780"
Total,"66,497,780","2,550,000","69,047,780",0,"69,047,780",0,"69,047,780"
Managing Director-Citizens Police,,,,,,,
Oversight Commission (5),,,,,,,
Personal Services,"1,822,639","(1,822,639)",0,0,0,0,0
Purchase of Services,"585,887","(585,887)",0,0,0,0,0
"Materials, Supplies & Equip.","35,407","(35,407)",0,0,0,0,0
Total,"2,443,933","(2,443,933)",0,0,0,0,0
Managing Director-Clean & Green (6),,,,,,,
Personal Services,"586,289","(586,289)",0,0,0,0,0
Purchase of Services,"1,490,493","(1,490,493)",0,0,0,0,0
"Materials, Supplies & Equip.",0,0,0,0,0,0,0
Total,"2,076,782","(2,076,782)",0,0,0,0,0
Managing Director-Public Safety (7),,,,,,,
Personal Services,"5,278,006","(5,278,006)",0,0,0,0,0
Purchase of Services,"19,251,165","(19,251,165)",0,0,0,0,0
"Materials, Supplies & Equip.","227,976","(227,976)",0,0,0,0,0
Total,"24,757,147","(24,757,147)",0,0,0,0,0
Mayor's Office,,,,,,,
Personal Services,"9,786,215","2,412,298","12,198,513","104,789","12,303,302","(1,085,668)","11,217,634"
Purchase of Services,"1,305,517","141,633","1,447,150",0,"1,447,150","896,676","2,343,826"
"Materials, Supplies & Equip.","149,124","21,787","170,911",0,"170,911","(12,000)","158,911"
"Contrib., Indemnities & Taxes","1,774","(1,774)",0,0,0,0,0
Total,"11,242,630","2,573,944","13,816,574","104,789","13,921,363","(200,992)","13,720,371"
Neighborhood Community Action,,,,,,,
Centers (8),,,,,,,
Personal Services,0,"2,585,304","2,585,304","21,965","2,607,269","846,812","3,454,081"
Purchase of Services,0,"624,300","624,300",0,"624,300","289,039","913,339"
"Materials, Supplies & Equip.",0,"100,000","100,000",0,"100,000","12,000","112,000"
"Contrib., Indemnities & Taxes",0,0,0,0,0,0,0
Total,0,"3,309,604","3,309,604","21,965","3,331,569","1,147,851","4,479,420"
