0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Finance-School District Contribution,,,,,,,
"Contrib., Indemnities & Taxes","284,052,590",0,"284,052,590",0,"284,052,590",0,"284,052,590"
Total,"284,052,590",0,"284,052,590",0,"284,052,590",0,"284,052,590"
Finance-Witness Fees,,,,,,,
Purchase of Services,"188,549","71,545","260,094",0,"260,094",0,"260,094"
Total,"188,549","71,545","260,094",0,"260,094",0,"260,094"
Fire,,,,,,,
Personal Services,"402,309,895","(10,199,603)","392,110,292","530,203","392,640,495","3,293,600","395,934,095"
Purchase of Services,"11,867,631","8,382,403","20,250,034",0,"20,250,034","110,000","20,360,034"
"Materials, Supplies & Equip.","14,318,311","8,965,278","23,283,589","(7,500,000)","15,783,589","15,890,125","31,673,714"
"Contrib., Indemnities & Taxes","1,783,089","(1,783,089)",0,0,0,0,0
Payments to Other Funds,"8,248,000","329,920","8,577,920",0,"8,577,920","4,330,080","12,908,000"
Total,"438,526,926","5,694,909","444,221,835","(6,969,797)","437,252,038","23,623,805","460,875,843"
First Judicial District,,,,,,,
Personal Services,"112,665,985","8,827,455","121,493,440","4,031,765","125,525,205","1,494,956","127,020,161"
Purchase of Services,"21,573,933","(12,498,742)","9,075,191",0,"9,075,191",0,"9,075,191"
"Materials, Supplies & Equip.","2,343,460",1,"2,343,461",0,"2,343,461",0,"2,343,461"
"Contrib., Indemnities & Taxes",715,(715),0,0,0,0,0
Total,"136,584,093","(3,672,001)","132,912,092","4,031,765","136,943,857","1,494,956","138,438,813"
Fleet Services,,,,,,,
Personal Services,"22,511,171","466,986","22,978,157","1,081,648","24,059,805","695,897","24,755,702"
Purchase of Services,"7,548,797","(18,510)","7,530,287","2,317,553","9,847,840","(2,317,553)","7,530,287"
"Materials, Supplies & Equip.","29,784,792","1,206,723","30,991,515","(2,317,553)","28,673,962","(159,635)","28,514,327"
Total,"59,844,760","1,655,199","61,499,959","1,081,648","62,581,607","(1,781,291)","60,800,316"
Fleet Services -Vehicle Lease/Purch.,,,,,,,
"Materials, Supplies & Equip.","25,343,082","(8,983,837)","16,359,245",0,"16,359,245","(1,000,000)","15,359,245"
Total,"25,343,082","(8,983,837)","16,359,245",0,"16,359,245","(1,000,000)","15,359,245"
Free Library,,,,,,,
Personal Services,"55,374,187","6,720,128","62,094,315","2,929,174","65,023,489","565,368","65,588,857"
Purchase of Services,"3,657,025","567,697","4,224,722",0,"4,224,722",0,"4,224,722"
"Materials, Supplies & Equip.","8,383,626","(38,075)","8,345,551",0,"8,345,551","100,000","8,445,551"
"Contrib., Indemnities & Taxes","102,008","(102,008)",0,0,0,0,0
Total,"67,516,846","7,147,742","74,664,588","2,929,174","77,593,762","665,368","78,259,130"
Human Relations Commission,,,,,,,
Personal Services,"2,674,280","151,646","2,825,926","113,802","2,939,728","165,282","3,105,010"
Purchase of Services,"56,179","10,722","66,901",0,"66,901","10,000","76,901"
"Materials, Supplies & Equip.","21,342","6,689","28,031",0,"28,031",0,"28,031"
Total,"2,751,801","169,057","2,920,858","113,802","3,034,660","175,282","3,209,942"
Human Services,,,,,,,
Personal Services,"33,029,159","3,704,600","36,733,759","1,368,940","38,102,699","210,812","38,313,511"
Purchase of Services,"175,925,175","14,947,831","190,873,006","(750,000)","190,123,006","4,213,757","194,336,763"
"Materials, Supplies & Equip.","494,133","1,371,003","1,865,136",0,"1,865,136",0,"1,865,136"
"Contrib., Indemnities & Taxes","1,333,500","(1,333,500)",0,0,0,0,0
Total,"210,781,967","18,689,934","229,471,901","618,940","230,090,841","4,424,569","234,515,410"
Labor,,,,,,,
Personal Services,"3,293,586","1,016,358","4,309,944","92,633","4,402,577","50,349","4,452,926"
Purchase of Services,"556,800","859,161","1,415,961","(150,000)","1,265,961","(375,147)","890,814"
"Materials, Supplies & Equip.","5,600","15,820","21,420",0,"21,420",0,"21,420"
Total,"3,855,986","1,891,339","5,747,325","(57,367)","5,689,958","(324,798)","5,365,160"
Law,,,,,,,
Personal Services,"21,171,665","1,130,767","22,302,432","331,754","22,634,186","349,482","22,983,668"
Purchase of Services,"13,974,798","218,347","14,193,145",0,"14,193,145","500,000","14,693,145"
"Materials, Supplies & Equip.","182,747","1,929","184,676",0,"184,676",0,"184,676"
"Contrib., Indemnities & Taxes","17,500","(17,500)",0,0,0,0,0
Total,"35,346,710","1,333,543","36,680,253","331,754","37,012,007","849,482","37,861,489"
