0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Sanitation,,,,,,,
Personal Services,"100,316,451","6,818,220","107,134,671","6,051,438","113,186,109","2,651,531","115,837,640"
Purchase of Services,"6,122,064","(2,300,448)","3,821,616",0,"3,821,616","13,200","3,834,816"
"Materials, Supplies & Equip.","7,235,636","(1,469,004)","5,766,632",0,"5,766,632","(727,000)","5,039,632"
"Contrib., Indemnities & Taxes","8,414,710","(8,361,539)","53,171",0,"53,171",0,"53,171"
Total,"122,088,861","(5,312,771)","116,776,090","6,051,438","122,827,528","1,937,731","124,765,259"
Sheriff,,,,,,,
Personal Services,"32,003,728","(453,128)","31,550,600","145,312","31,695,912","27,565","31,723,477"
Purchase of Services,"2,932,641","(285,561)","2,647,080",0,"2,647,080",0,"2,647,080"
"Materials, Supplies & Equip.","451,887","835,246","1,287,133",0,"1,287,133",0,"1,287,133"
"Contrib., Indemnities & Taxes","343,355","(343,355)",0,0,0,0,0
Total,"35,731,611","(246,798)","35,484,813","145,312","35,630,125","27,565","35,657,690"
Sinking Fund Commission (Debt Service),,,,,,,
Purchase of Services,"117,667,281","55,609,703","173,276,984","(33,470,000)","139,806,984","49,861,877","189,668,861"
Debt Service,"195,090,263","36,405,223","231,495,486","(9,000,000)","222,495,486","18,699,530","241,195,016"
Total,"312,757,544","92,014,926","404,772,470","(42,470,000)","362,302,470","68,561,407","430,863,877"
,,,,,,,
"Total, General Fund","6,317,878,436","524,680,564","6,842,559,000","58,349,096","6,900,908,096","66,902,904","6,967,811,000"
