0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Auditing (City Controller's Office),,,,,,,,,,,
Full-Time Positions,109,110,113,125,125,0,138,138,138,0,0
Class 100 Total Oblig./Approp.,"9,523,506","9,092,764","9,681,606","5,170,895","5,170,895",0,"10,599,672","11,066,139","10,946,133","(346,461)","120,006"
Class 100 Overtime Oblig./Approp.,"58,666","60,074","57,999","40,000","22,961","17,039","80,000","80,000","80,000",0,0
Board of Ethics,,,,,,,,,,,
Full-Time Positions,9,10,10,11,11,0,14,14,14,0,0
Class 100 Total Oblig./Approp.,"848,155","932,874","1,019,460","554,769","554,769",0,"1,322,433","1,370,109","1,370,109","(47,676)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,14,15,17,17,17,0,17,17,17,0,0
Class 100 Total Oblig./Approp.,"988,226","1,012,612","1,114,870","551,458","551,458",0,"1,089,023","1,129,980","1,164,943","(75,920)","(34,963)"
Class 100 Overtime Oblig./Approp.,"1,801","1,824",843,0,(43),43,0,0,0,0,0
City Commissioners (Election Board),,,,,,,,,,,
Full-Time Positions,134,146,159,176,176,0,200,200,200,0,0
Class 100 Total Oblig./Approp.,"7,768,164","9,116,587","10,059,402","7,027,030","7,027,030",0,"11,733,634","11,877,828","12,193,739","(460,105)","(315,911)"
Class 100 Overtime Oblig./Approp.,"1,230,728","1,649,718","1,650,637","797,300","1,422,170","(624,870)","1,594,599","1,594,599","1,719,599","(125,000)","(125,000)"
City Council,,,,,,,,,,,
Full-Time Positions,175,164,198,208,208,0,215,215,215,0,0
Class 100 Total Oblig./Approp.,"14,383,873","14,095,159","15,212,889","8,485,484","8,485,484",0,"20,700,583","21,268,492","21,268,492","(567,909)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
City Treasurer,,,,,,,,,,,
Full-Time Positions,17,20,19,22,22,0,23,23,23,0,0
Class 100 Total Oblig./Approp.,"1,396,762","1,579,598","1,584,461","877,527","877,527",0,"1,894,025","1,969,304","1,976,588","(82,563)","(7,284)"
Class 100 Overtime Oblig./Approp.,"66,607","57,689","44,107","35,000","10,685","24,315","70,000","70,000","70,000",0,0
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,2,2,2,2,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"141,474","153,540","156,687","78,805","78,805",0,"183,057","186,501","188,863","(5,806)","(2,362)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
