0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,73,82,91,91,91,0,99,99,99,0,0
Class 100 Total Oblig./Approp.,"5,230,335","5,488,289","6,325,180","3,439,000","3,439,000",0,"6,730,282","6,964,012","7,045,086","(314,804)","(81,074)"
Class 100 Overtime Oblig./Approp.,"94,206","111,909","51,435","77,696","24,659","53,037","155,391","155,391","155,391",0,0
Office of Innovation and Technology,,,,,,,,,,,
Full-Time Positions,300,349,369,359,359,0,421,421,421,0,0
Class 100 Total Oblig./Approp.,"25,739,873","28,225,382","32,603,550","16,432,390","16,432,390",0,"33,623,852","35,108,926","35,148,001","(1,524,149)","(39,075)"
Class 100 Overtime Oblig./Approp.,"579,803","754,167","798,132","344,383","441,167","(96,784)","688,765","688,765","793,765","(105,000)","(105,000)"
OIT-Base,,,,,,,,,,,
Full-Time Positions,288,334,353,342,342,0,402,402,402,0,0
Class 100 Total Oblig./Approp.,"24,553,231","26,813,476","31,154,241","15,656,289","15,656,289",0,"31,895,120","33,380,194","33,419,269","(1,524,149)","(39,075)"
Class 100 Overtime Oblig./Approp.,"523,830","752,935","770,273","329,383","423,243","(93,860)","658,765","658,765","758,765","(100,000)","(100,000)"
OIT-911,,,,,,,,,,,
Full-Time Positions,12,15,16,17,17,0,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,186,642","1,411,906","1,449,309","776,101","776,101",0,"1,728,732","1,728,732","1,728,732",0,0
Class 100 Overtime Oblig./Approp.,"55,973","1,232","27,859","15,000","17,924","(2,924)","30,000","30,000","35,000","(5,000)","(5,000)"
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,16,18,18,20,20,0,26,26,26,0,0
Class 100 Total Oblig./Approp.,"1,414,649","1,524,854","1,743,544","850,158","850,158",0,"2,463,188","2,534,057","2,534,057","(70,869)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,177,182,178,185,185,0,226,226,226,0,0
Class 100 Total Oblig./Approp.,"13,638,652","13,454,091","13,645,565","7,048,093","7,048,093",0,"16,021,562","16,730,375","16,815,931","(794,369)","(85,556)"
Class 100 Overtime Oblig./Approp.,"107,053","164,817","275,671","99,668","86,672","12,996","199,336","199,336","199,336",0,0
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,11,18,23,21,21,0,23,23,23,0,0
Class 100 Total Oblig./Approp.,"842,041","1,148,398","1,791,288","972,920","972,920",0,"1,487,029","1,578,333","1,778,333","(291,304)","(200,000)"
Class 100 Overtime Oblig./Approp.,480,23,450,"2,000","1,605",395,0,"4,000","4,000","(4,000)",0
